h,id,label,fuel_class,OutputPower
2016-11-30T03:00:00Z,2008,2008-High Demand,Fossil fuels,21790.151753799822
2016-11-30T03:00:00Z,2010,2010-High Demand,Fossil fuels,23643.150490717468
2016-11-30T03:00:00Z,2012,2012-Lost Load,Fossil fuels,24602.143620935683
2016-11-30T04:00:00Z,1996,1996-Median Demand,Fossil fuels,11531.056899690755
2016-11-30T04:00:00Z,2000,2000-Low Demand,Fossil fuels,9182.227213036216
2016-11-30T04:00:00Z,2001,2001-Low Demand,Fossil fuels,11363.088384282497
2016-11-30T04:00:00Z,2008,2008-High Demand,Fossil fuels,21252.035464807635
2016-11-30T04:00:00Z,2010,2010-High Demand,Fossil fuels,21294.463249492826
2016-11-30T04:00:00Z,2012,2012-Lost Load,Fossil fuels,24106.552863147685
2016-11-30T05:00:00Z,1996,1996-Median Demand,Fossil fuels,11531.056899690755
2016-11-30T05:00:00Z,2000,2000-Low Demand,Fossil fuels,9182.227213036216
2016-11-30T05:00:00Z,2001,2001-Low Demand,Fossil fuels,11532.268868069586
2016-11-30T05:00:00Z,2008,2008-High Demand,Fossil fuels,21222.870680609612
2016-11-30T05:00:00Z,2010,2010-High Demand,Fossil fuels,19461.4075735242
2016-11-30T05:00:00Z,2012,2012-Lost Load,Fossil fuels,24142.293894747687
2016-11-30T06:00:00Z,1996,1996-Median Demand,Fossil fuels,12280.673305606124
2016-11-30T06:00:00Z,2000,2000-Low Demand,Fossil fuels,13602.515805547808
2016-11-30T06:00:00Z,2001,2001-Low Demand,Fossil fuels,14629.510463775017
2016-11-30T06:00:00Z,2008,2008-High Demand,Fossil fuels,24847.463224863408
2016-11-30T06:00:00Z,2010,2010-High Demand,Fossil fuels,22658.087255616516
2016-11-30T06:00:00Z,2012,2012-Lost Load,Fossil fuels,26778.48070926768
2016-11-30T07:00:00Z,1996,1996-Median Demand,Fossil fuels,22376.395873694728
2016-11-30T07:00:00Z,2000,2000-Low Demand,Fossil fuels,21086.379519327602
2016-11-30T07:00:00Z,2001,2001-Low Demand,Fossil fuels,21145.647184184847
2016-11-30T07:00:00Z,2008,2008-High Demand,Fossil fuels,33198.54459885546
2016-11-30T07:00:00Z,2010,2010-High Demand,Fossil fuels,29955.40857746035
2016-11-30T07:00:00Z,2012,2012-Lost Load,Fossil fuels,36216.74077907593
2016-11-30T08:00:00Z,1996,1996-Median Demand,Fossil fuels,31227.870692487682
2016-11-30T08:00:00Z,2000,2000-Low Demand,Fossil fuels,29741.85811653939
2016-11-30T08:00:00Z,2001,2001-Low Demand,Fossil fuels,28408.36670056559
2016-11-30T08:00:00Z,2008,2008-High Demand,Fossil fuels,42558.95695404347
2016-11-30T08:00:00Z,2010,2010-High Demand,Fossil fuels,38969.341278659376
2016-11-30T08:00:00Z,2012,2012-Lost Load,Fossil fuels,44186.80838007559
2016-11-30T09:00:00Z,1996,1996-Median Demand,Fossil fuels,33372.82900009472
2016-11-30T09:00:00Z,2000,2000-Low Demand,Fossil fuels,31069.49359581426
2016-11-30T09:00:00Z,2001,2001-Low Demand,Fossil fuels,31030.16943097759
2016-11-30T09:00:00Z,2008,2008-High Demand,Fossil fuels,44009.54125448666
2016-11-30T09:00:00Z,2010,2010-High Demand,Fossil fuels,42058.956324384104
2016-11-30T09:00:00Z,2012,2012-Lost Load,Fossil fuels,44880.31238007559
2016-11-30T10:00:00Z,1996,1996-Median Demand,Fossil fuels,35928.068059924524
2016-11-30T10:00:00Z,2000,2000-Low Demand,Fossil fuels,31300.624062998657
2016-11-30T10:00:00Z,2001,2001-Low Demand,Fossil fuels,31857.24944982697
2016-11-30T10:00:00Z,2008,2008-High Demand,Fossil fuels,44009.54125448666
2016-11-30T10:00:00Z,2010,2010-High Demand,Fossil fuels,43276.28718255369
2016-11-30T10:00:00Z,2012,2012-Lost Load,Fossil fuels,44539.55103026058
2016-11-30T11:00:00Z,1996,1996-Median Demand,Fossil fuels,36047.81430140411
2016-11-30T11:00:00Z,2000,2000-Low Demand,Fossil fuels,31300.624062998657
2016-11-30T11:00:00Z,2001,2001-Low Demand,Fossil fuels,31718.269746411366
2016-11-30T11:00:00Z,2008,2008-High Demand,Fossil fuels,44009.54125448666
2016-11-30T11:00:00Z,2010,2010-High Demand,Fossil fuels,43465.65977729783
2016-11-30T11:00:00Z,2012,2012-Lost Load,Fossil fuels,44186.80838007559
2016-11-30T12:00:00Z,1996,1996-Median Demand,Fossil fuels,36908.82403376869
2016-11-30T12:00:00Z,2000,2000-Low Demand,Fossil fuels,31103.20011865379
2016-11-30T12:00:00Z,2001,2001-Low Demand,Fossil fuels,31914.56451629729
2016-11-30T12:00:00Z,2008,2008-High Demand,Fossil fuels,44009.54125448666
2016-11-30T12:00:00Z,2010,2010-High Demand,Fossil fuels,43459.97816706205
2016-11-30T12:00:00Z,2012,2012-Lost Load,Fossil fuels,44857.622316480745
2016-11-30T13:00:00Z,1996,1996-Median Demand,Fossil fuels,36908.82403376869
2016-11-30T13:00:00Z,2000,2000-Low Demand,Fossil fuels,31300.624062998657
2016-11-30T13:00:00Z,2001,2001-Low Demand,Fossil fuels,32135.255045036876
2016-11-30T13:00:00Z,2008,2008-High Demand,Fossil fuels,44009.54125448666
2016-11-30T13:00:00Z,2010,2010-High Demand,Fossil fuels,43459.97816706205
2016-11-30T13:00:00Z,2012,2012-Lost Load,Fossil fuels,44399.85896423922
2016-11-30T14:00:00Z,1996,1996-Median Demand,Fossil fuels,37139.954500953085
2016-11-30T14:00:00Z,2000,2000-Low Demand,Fossil fuels,31300.624062998657
2016-11-30T14:00:00Z,2001,2001-Low Demand,Fossil fuels,32028.19156773047
2016-11-30T14:00:00Z,2008,2008-High Demand,Fossil fuels,44009.54125448666
2016-11-30T14:00:00Z,2010,2010-High Demand,Fossil fuels,43459.97816706205
2016-11-30T14:00:00Z,2012,2012-Lost Load,Fossil fuels,44758.94234945293
2016-11-30T15:00:00Z,1996,1996-Median Demand,Fossil fuels,38006.508284293624
2016-11-30T15:00:00Z,2000,2000-Low Demand,Fossil fuels,31300.624062998657
2016-11-30T15:00:00Z,2001,2001-Low Demand,Fossil fuels,32191.356942597653
2016-11-30T15:00:00Z,2008,2008-High Demand,Fossil fuels,44009.54125448666
2016-11-30T15:00:00Z,2010,2010-High Demand,Fossil fuels,43459.97816706205
2016-11-30T15:00:00Z,2012,2012-Lost Load,Fossil fuels,44880.31238007559
2016-11-30T16:00:00Z,1996,1996-Median Demand,Fossil fuels,38038.282971541325
2016-11-30T16:00:00Z,2000,2000-Low Demand,Fossil fuels,31074.12322962874
2016-11-30T16:00:00Z,2001,2001-Low Demand,Fossil fuels,33503.74394728217
2016-11-30T16:00:00Z,2008,2008-High Demand,Fossil fuels,44009.54125448666
2016-11-30T16:00:00Z,2010,2010-High Demand,Fossil fuels,44419.82730300323
2016-11-30T16:00:00Z,2012,2012-Lost Load,Fossil fuels,44880.31238007559
2016-11-30T17:00:00Z,1996,1996-Median Demand,Fossil fuels,38433.425931352445
2016-11-30T17:00:00Z,2000,2000-Low Demand,Fossil fuels,31800.23345707439
2016-11-30T17:00:00Z,2001,2001-Low Demand,Fossil fuels,36009.10028074049
2016-11-30T17:00:00Z,2008,2008-High Demand,Fossil fuels,44009.54125448666
2016-11-30T17:00:00Z,2010,2010-High Demand,Fossil fuels,44529.11700234374
2016-11-30T17:00:00Z,2012,2012-Lost Load,Fossil fuels,44880.31238007559
2016-11-30T18:00:00Z,1996,1996-Median Demand,Fossil fuels,38433.425931352445
2016-11-30T18:00:00Z,2000,2000-Low Demand,Fossil fuels,31800.23345707439
2016-11-30T18:00:00Z,2001,2001-Low Demand,Fossil fuels,36009.10028074049
2016-11-30T18:00:00Z,2008,2008-High Demand,Fossil fuels,44009.54125448666
2016-11-30T18:00:00Z,2010,2010-High Demand,Fossil fuels,44880.31238007559
2016-11-30T18:00:00Z,2012,2012-Lost Load,Fossil fuels,44880.31238007559
2016-11-30T19:00:00Z,1996,1996-Median Demand,Fossil fuels,38433.425931352445
2016-11-30T19:00:00Z,2000,2000-Low Demand,Fossil fuels,31800.23345707439
2016-11-30T19:00:00Z,2001,2001-Low Demand,Fossil fuels,36009.10028074049
2016-11-30T19:00:00Z,2008,2008-High Demand,Fossil fuels,44009.54125448666
2016-11-30T19:00:00Z,2010,2010-High Demand,Fossil fuels,44529.11700234374
2016-11-30T19:00:00Z,2012,2012-Lost Load,Fossil fuels,44880.31238007559
2016-11-30T20:00:00Z,1996,1996-Median Demand,Fossil fuels,38433.425931352445
2016-11-30T20:00:00Z,2000,2000-Low Demand,Fossil fuels,31332.947827704535
2016-11-30T20:00:00Z,2001,2001-Low Demand,Fossil fuels,36004.79948074049
2016-11-30T20:00:00Z,2008,2008-High Demand,Fossil fuels,44009.54125448666
2016-11-30T20:00:00Z,2010,2010-High Demand,Fossil fuels,44529.11700234374
2016-11-30T20:00:00Z,2012,2012-Lost Load,Fossil fuels,44880.31238007559
2016-11-30T21:00:00Z,1996,1996-Median Demand,Fossil fuels,37028.87078515897
2016-11-30T21:00:00Z,2000,2000-Low Demand,Fossil fuels,30604.51384998511
2016-11-30T21:00:00Z,2001,2001-Low Demand,Fossil fuels,31653.252255673593
2016-11-30T21:00:00Z,2008,2008-High Demand,Fossil fuels,43348.581254486664
2016-11-30T21:00:00Z,2010,2010-High Demand,Fossil fuels,43465.73816706205
2016-11-30T21:00:00Z,2012,2012-Lost Load,Fossil fuels,44842.0083800756
2016-11-30T22:00:00Z,1996,1996-Median Demand,Fossil fuels,36908.82403376869
2016-11-30T22:00:00Z,2000,2000-Low Demand,Fossil fuels,29907.044799627387
2016-11-30T22:00:00Z,2001,2001-Low Demand,Fossil fuels,27001.35989380931
2016-11-30T22:00:00Z,2008,2008-High Demand,Fossil fuels,41267.44253772746
2016-11-30T22:00:00Z,2010,2010-High Demand,Fossil fuels,41254.226845052195
2016-11-30T22:00:00Z,2012,2012-Lost Load,Fossil fuels,43465.73816706205
2016-11-30T23:00:00Z,1996,1996-Median Demand,Fossil fuels,32653.94476502234
2016-11-30T23:00:00Z,2000,2000-Low Demand,Fossil fuels,24478.14933145064
2016-11-30T23:00:00Z,2001,2001-Low Demand,Fossil fuels,24211.48394745359
2016-11-30T23:00:00Z,2008,2008-High Demand,Fossil fuels,35765.158873631466
2016-11-30T23:00:00Z,2010,2010-High Demand,Fossil fuels,35875.745683484194
