week,Location,id,level
24,CEE,1991,0.42605427148422254
24,CEE,1997,0.4439998471464285
24,CEE,2000,0.6453639069535546
24,CEE,2002,0.4000350626536312
24,CEE,2006,0.5326993464614501
24,CEE,2008,0.5062318778210286
24,CWE,1991,2.4479489896405022
24,CWE,1997,2.8509821583054586
24,CWE,2000,3.6998128094288814
24,CWE,2002,3.0997333007552945
24,CWE,2006,3.934471023332642
24,CWE,2008,3.7487149013295973
24,Iberia,1991,15.227202774600684
24,Iberia,1997,12.137199730330504
24,Iberia,2000,11.111359721661785
24,Iberia,2002,10.628767127995593
24,Iberia,2006,11.01658706601469
24,Iberia,2008,12.648294482115189
24,Italy,1991,1.8902176550494736
24,Italy,1997,2.010389756379501
24,Italy,2000,2.5475720366215775
24,Italy,2002,3.1520970249224263
24,Italy,2006,2.3435829829820527
24,Italy,2008,2.666550204208361
24,Northern,1991,24.429561228742852
24,Northern,1997,39.78712721846714
24,Northern,2000,59.62287741988417
24,Northern,2002,61.93737159977647
24,Northern,2006,40.42249849855773
24,Northern,2008,50.096231173725265
24,SEE,1991,4.581530984452865
24,SEE,1997,4.752758015932156
24,SEE,2000,4.696198594036686
24,SEE,2002,4.535926143232547
24,SEE,2006,4.968486451164148
24,SEE,2008,4.839439777955636
25,UK & Ireland,1991,0.014034337879375953
25,UK & Ireland,1997,0.014669979042025182
25,UK & Ireland,2000,0.013680421034392074
25,UK & Ireland,2002,0.013325754256060411
25,UK & Ireland,2006,0.012653172239210347
25,UK & Ireland,2008,0.009122563771967076
25,CEE,1991,0.4210761527990469
25,CEE,1997,0.4552402974994196
25,CEE,2000,0.646819132985551
25,CEE,2002,0.3895780987334282
25,CEE,2006,0.5471597210785915
25,CEE,2008,0.5222982594995998
25,CWE,1991,2.709451174140186
25,CWE,1997,3.1398226196629357
25,CWE,2000,4.145000920787866
25,CWE,2002,3.4785038913113335
25,CWE,2006,4.086447666252944
25,CWE,2008,3.9754131045885854
25,Iberia,1991,14.835697779454515
25,Iberia,1997,11.874366984166713
25,Iberia,2000,10.906271760855086
25,Iberia,2002,10.1919567805169
25,Iberia,2006,10.586257071638968
25,Iberia,2008,12.526131028364615
25,Italy,1991,2.1702318201389033
25,Italy,1997,2.227405343158981
25,Italy,2000,2.6843904311900255
25,Italy,2002,3.2018311694142563
25,Italy,2006,2.402887422168357
25,Italy,2008,2.8600810115570416
25,Northern,1991,30.243678800060632
25,Northern,1997,47.22848334079068
25,Northern,2000,66.61570554362197
25,Northern,2002,65.01917631595947
25,Northern,2006,40.93721876592928
25,Northern,2008,53.442777964113574
