region,id,season,hours,class
Iberia,2014,Spring,0,0
Iberia,2014,Summer,0,0
Iberia,2014,Autumn,0,0
Iberia,2015,Winter,0,0
Iberia,2015,Spring,0,0
Iberia,2015,Summer,0,0
Iberia,2015,Autumn,0,0
Italy,1990,Winter,0,0
Italy,1990,Spring,0,0
Italy,1990,Summer,0,0
Italy,1990,Autumn,0,0
Italy,1991,Winter,0,0
Italy,1991,Spring,8,5-9
Italy,1991,Summer,0,0
Italy,1991,Autumn,7,5-9
Italy,1992,Winter,0,0
Italy,1992,Spring,0,0
Italy,1992,Summer,0,0
Italy,1992,Autumn,0,0
Italy,1993,Winter,0,0
Italy,1993,Spring,0,0
Italy,1993,Summer,0,0
Italy,1993,Autumn,0,0
Italy,1994,Winter,0,0
Italy,1994,Spring,0,0
Italy,1994,Summer,0,0
Italy,1994,Autumn,0,0
Italy,1995,Winter,0,0
Italy,1995,Spring,0,0
Italy,1995,Summer,0,0
Italy,1995,Autumn,0,0
Italy,1996,Winter,0,0
Italy,1996,Spring,0,0
Italy,1996,Summer,11,10-19
Italy,1996,Autumn,0,0
Italy,1997,Winter,0,0
Italy,1997,Spring,0,0
Italy,1997,Summer,0,0
Italy,1997,Autumn,0,0
Italy,1998,Winter,3,1-4
Italy,1998,Spring,0,0
Italy,1998,Summer,11,10-19
Italy,1998,Autumn,0,0
Italy,1999,Winter,0,0
Italy,1999,Spring,8,5-9
Italy,1999,Summer,0,0
Italy,1999,Autumn,0,0
Italy,2000,Winter,4,1-4
Italy,2000,Spring,0,0
Italy,2000,Summer,13,10-19
Italy,2000,Autumn,0,0
Italy,2001,Winter,0,0
Italy,2001,Spring,0,0
Italy,2001,Summer,0,0
Italy,2001,Autumn,0,0
Italy,2002,Winter,0,0
Italy,2002,Spring,0,0
Italy,2002,Summer,21,20-39
Italy,2002,Autumn,0,0
Italy,2003,Winter,0,0
Italy,2003,Spring,0,0
Italy,2003,Summer,0,0
Italy,2003,Autumn,11,10-19
Italy,2004,Winter,0,0
Italy,2004,Spring,0,0
Italy,2004,Summer,0,0
Italy,2004,Autumn,9,5-9
Italy,2005,Winter,0,0
Italy,2005,Spring,0,0
Italy,2005,Summer,0,0
Italy,2005,Autumn,0,0
Italy,2006,Winter,0,0
Italy,2006,Spring,12,10-19
Italy,2006,Summer,0,0
Italy,2006,Autumn,0,0
Italy,2007,Winter,0,0
Italy,2007,Spring,0,0
Italy,2007,Summer,0,0
Italy,2007,Autumn,0,0
Italy,2008,Winter,0,0
Italy,2008,Spring,0,0
Italy,2008,Summer,22,20-39
Italy,2008,Autumn,0,0
Italy,2009,Winter,0,0
Italy,2009,Spring,0,0
Italy,2009,Summer,0,0
Italy,2009,Autumn,0,0
Italy,2010,Winter,0,0
Italy,2010,Spring,0,0
Italy,2010,Summer,0,0
Italy,2010,Autumn,0,0
Italy,2011,Winter,0,0
Italy,2011,Spring,0,0
Italy,2011,Summer,6,5-9
Italy,2011,Autumn,0,0
Italy,2012,Winter,0,0
Italy,2012,Spring,0,0
Italy,2012,Summer,0,0
Italy,2012,Autumn,0,0
Italy,2013,Winter,6,5-9
Italy,2013,Spring,0,0
Italy,2013,Summer,0,0
Italy,2013,Autumn,0,0
Italy,2014,Winter,0,0
Italy,2014,Spring,0,0
Italy,2014,Summer,0,0
Italy,2014,Autumn,0,0
Italy,2015,Winter,0,0
Italy,2015,Spring,0,0
Italy,2015,Summer,0,0
Italy,2015,Autumn,0,0
Northern,1990,Winter,0,0
Northern,1990,Spring,0,0
Northern,1990,Summer,0,0
Northern,1990,Autumn,0,0
Northern,1991,Winter,0,0
Northern,1991,Spring,15,10-19
Northern,1991,Summer,0,0
Northern,1991,Autumn,13,10-19
Northern,1992,Winter,0,0
Northern,1992,Spring,0,0
Northern,1992,Summer,0,0
Northern,1992,Autumn,0,0
Northern,1993,Winter,0,0
Northern,1993,Spring,0,0
Northern,1993,Summer,0,0
Northern,1993,Autumn,0,0
Northern,1994,Winter,0,0
Northern,1994,Spring,0,0
Northern,1994,Summer,0,0
Northern,1994,Autumn,0,0
Northern,1995,Winter,0,0
Northern,1995,Spring,0,0
Northern,1995,Summer,0,0
Northern,1995,Autumn,0,0
Northern,1996,Winter,0,0
Northern,1996,Spring,0,0
Northern,1996,Summer,18,10-19
Northern,1996,Autumn,0,0
Northern,1997,Winter,0,0
Northern,1997,Spring,0,0
Northern,1997,Summer,0,0
Northern,1997,Autumn,0,0
Northern,1998,Winter,29,20-39
Northern,1998,Spring,0,0
Northern,1998,Summer,16,10-19
Northern,1998,Autumn,0,0
Northern,1999,Winter,0,0
Northern,1999,Spring,15,10-19
Northern,1999,Summer,0,0
Northern,1999,Autumn,0,0
Northern,2000,Winter,18,10-19
Northern,2000,Spring,0,0
Northern,2000,Summer,21,20-39
Northern,2000,Autumn,1133,>100
Northern,2001,Winter,0,0
Northern,2001,Spring,0,0
Northern,2001,Summer,0,0
Northern,2001,Autumn,0,0
Northern,2002,Winter,0,0
Northern,2002,Spring,0,0
Northern,2002,Summer,41,40-59
Northern,2002,Autumn,0,0
Northern,2003,Winter,0,0
Northern,2003,Spring,0,0
Northern,2003,Summer,0,0
Northern,2003,Autumn,20,10-19
Northern,2004,Winter,0,0
Northern,2004,Spring,0,0
Northern,2004,Summer,0,0
Northern,2004,Autumn,14,10-19
Northern,2005,Winter,0,0
Northern,2005,Spring,0,0
Northern,2005,Summer,0,0
Northern,2005,Autumn,0,0
Northern,2006,Winter,0,0
Northern,2006,Spring,15,10-19
Northern,2006,Summer,0,0
Northern,2006,Autumn,0,0
Northern,2007,Winter,0,0
Northern,2007,Spring,0,0
Northern,2007,Summer,0,0
Northern,2007,Autumn,0,0
Northern,2008,Winter,0,0
Northern,2008,Spring,0,0
Northern,2008,Summer,63,60-99
Northern,2008,Autumn,0,0
Northern,2009,Winter,0,0
Northern,2009,Spring,0,0
Northern,2009,Summer,0,0
Northern,2009,Autumn,0,0
Northern,2010,Winter,0,0
Northern,2010,Spring,0,0
Northern,2010,Summer,0,0
Northern,2010,Autumn,0,0
Northern,2011,Winter,0,0
Northern,2011,Spring,0,0
Northern,2011,Summer,22,20-39
Northern,2011,Autumn,0,0
Northern,2012,Winter,0,0
Northern,2012,Spring,0,0
Northern,2012,Summer,0,0
Northern,2012,Autumn,0,0
Northern,2013,Winter,11,10-19
Northern,2013,Spring,0,0
Northern,2013,Summer,0,0
Northern,2013,Autumn,0,0
Northern,2014,Winter,0,0
Northern,2014,Spring,0,0
Northern,2014,Summer,0,0
Northern,2014,Autumn,0,0
Northern,2015,Winter,0,0
Northern,2015,Spring,0,0
Northern,2015,Summer,0,0
Northern,2015,Autumn,0,0
SEE,1990,Winter,0,0
SEE,1990,Spring,0,0
SEE,1990,Summer,0,0
SEE,1990,Autumn,0,0
SEE,1991,Winter,0,0
SEE,1991,Spring,9,5-9
SEE,1991,Summer,0,0
SEE,1991,Autumn,5,1-4
SEE,1992,Winter,0,0
SEE,1992,Spring,0,0
SEE,1992,Summer,0,0
SEE,1992,Autumn,0,0
SEE,1993,Winter,0,0
SEE,1993,Spring,0,0
SEE,1993,Summer,0,0
SEE,1993,Autumn,0,0
SEE,1994,Winter,0,0
SEE,1994,Spring,0,0
SEE,1994,Summer,0,0
SEE,1994,Autumn,0,0
SEE,1995,Winter,0,0
SEE,1995,Spring,0,0
SEE,1995,Summer,0,0
SEE,1995,Autumn,0,0
SEE,1996,Winter,0,0
SEE,1996,Spring,0,0
SEE,1996,Summer,10,5-9
SEE,1996,Autumn,0,0
SEE,1997,Winter,0,0
SEE,1997,Spring,0,0
SEE,1997,Summer,0,0
SEE,1997,Autumn,0,0
SEE,1998,Winter,4,1-4
SEE,1998,Spring,0,0
SEE,1998,Summer,9,5-9
SEE,1998,Autumn,0,0
SEE,1999,Winter,0,0
SEE,1999,Spring,4,1-4
SEE,1999,Summer,0,0
SEE,1999,Autumn,0,0
SEE,2000,Winter,3,1-4
SEE,2000,Spring,0,0
SEE,2000,Summer,8,5-9
SEE,2000,Autumn,0,0
SEE,2001,Winter,0,0
SEE,2001,Spring,0,0
SEE,2001,Summer,0,0
SEE,2001,Autumn,0,0
SEE,2002,Winter,0,0
SEE,2002,Spring,0,0
SEE,2002,Summer,28,20-39
SEE,2002,Autumn,0,0
SEE,2003,Winter,0,0
SEE,2003,Spring,0,0
SEE,2003,Summer,0,0
SEE,2003,Autumn,11,10-19
SEE,2004,Winter,0,0
SEE,2004,Spring,0,0
SEE,2004,Summer,0,0
SEE,2004,Autumn,8,5-9
SEE,2005,Winter,0,0
SEE,2005,Spring,0,0
SEE,2005,Summer,0,0
SEE,2005,Autumn,0,0
SEE,2006,Winter,0,0
SEE,2006,Spring,13,10-19
SEE,2006,Summer,0,0
SEE,2006,Autumn,0,0
SEE,2007,Winter,0,0
SEE,2007,Spring,0,0
SEE,2007,Summer,0,0
SEE,2007,Autumn,0,0
SEE,2008,Winter,0,0
SEE,2008,Spring,0,0
SEE,2008,Summer,34,20-39
SEE,2008,Autumn,0,0
SEE,2009,Winter,0,0
SEE,2009,Spring,0,0
SEE,2009,Summer,0,0
SEE,2009,Autumn,0,0
SEE,2010,Winter,0,0
SEE,2010,Spring,0,0
SEE,2010,Summer,0,0
SEE,2010,Autumn,0,0
SEE,2011,Winter,0,0
SEE,2011,Spring,0,0
SEE,2011,Summer,13,10-19
SEE,2011,Autumn,0,0
SEE,2012,Winter,0,0
SEE,2012,Spring,0,0
SEE,2012,Summer,0,0
SEE,2012,Autumn,0,0
SEE,2013,Winter,11,10-19
SEE,2013,Spring,0,0
SEE,2013,Summer,0,0
SEE,2013,Autumn,0,0
SEE,2014,Winter,0,0
SEE,2014,Spring,0,0
SEE,2014,Summer,0,0
SEE,2014,Autumn,0,0
SEE,2015,Winter,0,0
SEE,2015,Spring,0,0
SEE,2015,Summer,0,0
SEE,2015,Autumn,0,0
