region,year,avg,clim,deviation,perc_deviation,type_deviation,sign_deviation
CWE,2004,0.21756342717278168,0.21849614477234347,-9.327175995617887e-4,-0.42688057518525563,Sm,-1
Iberia,2004,0.2397344370446266,0.25484777276423176,-0.015113335719605159,-5.93033855296315,Mm,-1
Italy,2004,0.17615653346994536,0.16917084961065335,0.006985683859292019,4.129366185350235,Sp,1
Northern,2004,0.20433565638823836,0.21125632086715215,-0.0069206644789137906,-3.2759561704503164,Sm,-1
SEE,2004,0.18599397979912974,0.1767919715899571,0.009202008209172635,5.204992130816515,Mp,1
UK & Ireland,2005,0.29211062080884703,0.29105319439058164,0.0010574264182653947,0.36331036341294065,Sp,1
CEE,2005,0.18768344939117199,0.1960479244706744,-0.008364475079502415,-4.266546101972941,Sm,-1
CWE,2005,0.20086796983039792,0.21849614477234347,-0.017628174941945546,-8.067956970276422,Mm,-1
Iberia,2005,0.24634842180365296,0.25484777276423176,-0.0084993509605788,-3.335069743160689,Sm,-1
Italy,2005,0.1633148789954338,0.16917084961065335,-0.005855970615219558,-3.461571913067217,Sm,-1
Northern,2005,0.20692541161121983,0.21125632086715215,-0.004330909255932325,-2.050073218237954,Sm,-1
SEE,2005,0.17789623362506343,0.1767919715899571,0.0011042620351063293,0.6246109623504297,Sp,1
UK & Ireland,2006,0.28288815330468037,0.29105319439058164,-0.00816504108590127,-2.80534323046945,Sm,-1
CEE,2006,0.17646852168949773,0.1960479244706744,-0.019579402781176675,-9.987049255451534,Mm,-1
CWE,2006,0.21275685779517287,0.21849614477234347,-0.0057392869771706045,-2.6267223081443882,Sm,-1
Iberia,2006,0.23527292123287671,0.25484777276423176,-0.019574851531355048,-7.680997686985635,Mm,-1
Italy,2006,0.15100560502283106,0.16917084961065335,-0.018165244587822288,-10.737810107137012,Lm,-1
Northern,2006,0.19396311676451403,0.21125632086715215,-0.017293204102638127,-8.18588718749528,Mm,-1
SEE,2006,0.1652521362316083,0.1767919715899571,-0.011539835358348793,-6.527352602364625,Mm,-1
UK & Ireland,2007,0.27763821286386986,0.29105319439058164,-0.013414981526711778,-4.609116747473115,Sm,-1
CEE,2007,0.20775317275494673,0.1960479244706744,0.01170524828427233,5.970605562836879,Mp,1
CWE,2007,0.23238443754076973,0.21849614477234347,0.013888292768426264,6.356310214487683,Mp,1
Iberia,2007,0.23354763356164385,0.25484777276423176,-0.021300139202587914,-8.357985228418451,Mm,-1
Italy,2007,0.16497390182648403,0.16917084961065335,-0.004196947784169319,-2.4808930107217604,Sm,-1
Northern,2007,0.2190007958251794,0.21125632086715215,0.007744474958027242,3.665913959988601,Sp,1
SEE,2007,0.16979428838787416,0.1767919715899571,-0.006997683202082938,-3.9581453496729093,Sm,-1
UK & Ireland,2008,0.3069127649713115,0.29105319439058164,0.015859570580729843,5.449028179861493,Mp,1
CEE,2008,0.19904617239678202,0.1960479244706744,0.0029982479261076167,1.5293443856663251,Sp,1
CWE,2008,0.2250146774980484,0.21849614477234347,0.006518532725704934,2.983362810587232,Sp,1
Iberia,2008,0.24451668602003643,0.25484777276423176,-0.010331086744195334,-4.0538265773870314,Sm,-1
Italy,2008,0.16510356215846994,0.16917084961065335,-0.004067287452183405,-2.4042484042281904,Sm,-1
Northern,2008,0.2209901857272964,0.21125632086715215,0.009733864860144242,4.60760881387561,Sp,1
SEE,2008,0.174691529143898,0.1767919715899571,-0.0021004424460591142,-1.1880870082329194,Sm,-1
UK & Ireland,2009,0.2869631637872146,0.29105319439058164,-0.004090030603367045,-1.4052519203339817,Sm,-1
CEE,2009,0.18052598382800608,0.1960479244706744,-0.01552194064266832,-7.917421561374474,Mm,-1
CWE,2009,0.2073247775603392,0.21849614477234347,-0.011171367212004263,-5.112844084111409,Mm,-1
Iberia,2009,0.2495301261415525,0.25484777276423176,-0.005317646622679251,-2.086597251763618,Sm,-1
Italy,2009,0.17528712785388129,0.16917084961065335,0.0061162782432279406,3.615444538645135,Sp,1
Northern,2009,0.19122309801043705,0.21125632086715215,-0.020033222856715105,-9.482898677059197,Mm,-1
SEE,2009,0.16852700019025876,0.1767919715899571,-0.00826497139969834,-4.674969867335221,Sm,-1
UK & Ireland,2010,0.2254883958575913,0.29105319439058164,-0.06556479853299033,-22.52674074588751,XLm,-1
CEE,2010,0.18854974353120244,0.1960479244706744,-0.007498180939471966,-3.8246673407621676,Sm,-1
CWE,2010,0.1955374637964775,0.21849614477234347,-0.02295868097586598,-10.50759087753571,Lm,-1
Iberia,2010,0.2644265034246575,0.25484777276423176,0.00957873066042575,3.758608739848535,Sp,1
Italy,2010,0.18469539269406393,0.16917084961065335,0.015524543083410586,9.176842889386863,Mp,1
Northern,2010,0.18277563633398566,0.21125632086715215,-0.02848068453316649,-13.48157745825578,Lm,-1
SEE,2010,0.17507808914890918,0.1767919715899571,-0.0017138824410479203,-0.9694345425498267,Sm,-1
UK & Ireland,2011,0.2941280759488584,0.29105319439058164,0.0030748815582767874,1.0564672085853903,Sp,1
CEE,2011,0.18236941818873667,0.1960479244706744,-0.01367850628193773,-6.9771237409778415,Mm,-1
CWE,2011,0.2013201663405088,0.21849614477234347,-0.01717597843183466,-7.860998394150495,Mm,-1
Iberia,2011,0.22275753710045662,0.25484777276423176,-0.03209023566377514,-12.59192313737146,Lm,-1
Italy,2011,0.14851668607305937,0.16917084961065335,-0.020654163537593972,-12.209055865788653,Lm,-1
Northern,2011,0.22456272814742337,0.21125632086715215,0.013306407280271215,6.29870255510078,Mp,1
SEE,2011,0.16908625307584982,0.1767919715899571,-0.007705718514107285,-4.358635997328862,Sm,-1
UK & Ireland,2012,0.27060599483703324,0.29105319439058164,-0.0204471995535484,-7.0252448513274475,Mm,-1
CEE,2012,0.19792633784911962,0.1960479244706744,0.001878413378445215,0.9581398953938914,Sp,1
CWE,2012,0.21440670114493884,0.21849614477234347,-0.004089443627404626,-1.8716319373348755,Sm,-1
Iberia,2012,0.23440671903460839,0.25484777276423176,-0.020441053729623376,-8.020887727566715,Mm,-1
Italy,2012,0.1713033526867031,0.16917084961065335,0.0021325030760497576,1.2605617817476904,Sp,1
Northern,2012,0.2085277216692688,0.21125632086715215,-0.002728599197883347,-1.291605944230761,Sm,-1
SEE,2012,0.19251888208358633,0.1767919715899571,0.01572691049362923,8.895715315684969,Mp,1
UK & Ireland,2013,0.28938517252277396,0.29105319439058164,-0.0016680218678076786,-0.5730986293760654,Sm,-1
CEE,2013,0.18692447602739726,0.1960479244706744,-0.009123448443277143,-4.653682750230729,Sm,-1
CWE,2013,0.20527541373124591,0.21849614477234347,-0.013220731041097555,-6.050784582433965,Mm,-1
Iberia,2013,0.2858884058219178,0.25484777276423176,0.031040633057686062,12.180068407504896,Lp,1
Italy,2013,0.16368690753424658,0.16917084961065335,-0.0054839420764067615,-3.24165900273484,Sm,-1
Northern,2013,0.19477879941291584,0.21125632086715215,-0.01647752145423631,-7.799776776666553,Mm,-1
SEE,2013,0.17701240889776762,0.1767919715899571,2.2043730781051707e-4,0.12468739718667139,Sp,1
UK & Ireland,2014,0.27556017675114153,0.29105319439058164,-0.01549301763944011,-5.323087991485537,Mm,-1
CEE,2014,0.1793666815068493,0.1960479244706744,-0.016681242963825088,-8.508757748323081,Mm,-1
CWE,2014,0.20299755088062624,0.21849614477234347,-0.015498593891717233,-7.093303137163176,Mm,-1
Iberia,2014,0.2586043658675799,0.25484777276423176,0.003756593103348138,1.4740537312144724,Sp,1
Italy,2014,0.1553929189497717,0.16917084961065335,-0.013777930660881649,-8.144388168878711,Mm,-1
Northern,2014,0.20030008512720157,0.21125632086715215,-0.010956235739950582,-5.186228603706668,Mm,-1
SEE,2014,0.14578908235667173,0.1767919715899571,-0.03100288923328537,-17.5363671520062,XLm,-1
UK & Ireland,2015,0.3083993507436073,0.29105319439058164,0.017346156353025666,5.959789030780341,Mp,1
CEE,2015,0.19627771232876712,0.1960479244706744,2.2978785809271707e-4,0.11721004377533699,Sp,1
CWE,2015,0.22165402592954989,0.21849614477234347,0.003157881157206416,1.4452800348018453,Sp,1
Iberia,2015,0.24086386757990869,0.25484777276423176,-0.013983905184323075,-5.487160053488109,Mm,-1
Italy,2015,0.14082925684931508,0.16917084961065335,-0.02834159276133827,-16.753236640098713,XLm,-1
Northern,2015,0.23315834295499022,0.21125632086715215,0.021902022087838063,10.36751089763183,Lp,1
